time_step, score
0, 0.2857142857142857
1, 0.2857142857142857
2, 0.2857142857142857
3, 0.2857142857142857
4, 0.2857142857142857
5, 0.2857142857142857
6, 0.2857142857142857
7, 0.2857142857142857
8, 0.2857142857142857
9, 0.2857142857142857
10, 0.2857142857142857
11, 0.2857142857142857
12, 0.2857142857142857
13, 0.2857142857142857
14, 0.2857142857142857
15, 0.2857142857142857
16, 0.2857142857142857
17, 0.2857142857142857
18, 0.2857142857142857
19, 0.2857142857142857
20, 0.2857142857142857
21, 0.2857142857142857
22, 0.2857142857142857
23, 0.2857142857142857
24, 0.2857142857142857
25, 0.2857142857142857
